Category: All categories

Month,S&P 500 Index: (Worldwide)
2004-01,75
2004-02,68
2004-03,62
2004-04,63
2004-05,54
2004-06,56
2004-07,60
2004-08,56
2004-09,58
2004-10,57
2004-11,65
2004-12,61
2005-01,61
2005-02,61
2005-03,59
2005-04,58
2005-05,56
2005-06,53
2005-07,60
2005-08,54
2005-09,62
2005-10,63
2005-11,69
2005-12,67
2006-01,73
2006-02,60
2006-03,64
2006-04,62
2006-05,57
2006-06,60
2006-07,55
2006-08,54
2006-09,54
2006-10,56
2006-11,52
2006-12,50
2007-01,54
2007-02,54
2007-03,55
2007-04,53
2007-05,52
2007-06,48
2007-07,53
2007-08,61
2007-09,49
2007-10,53
2007-11,54
2007-12,48
2008-01,66
2008-02,54
2008-03,56
2008-04,53
2008-05,45
2008-06,49
2008-07,54
2008-08,44
2008-09,66
2008-10,100
2008-11,68
2008-12,53
2009-01,55
2009-02,61
2009-03,69
2009-04,54
2009-05,49
2009-06,46
2009-07,46
2009-08,47
2009-09,45
2009-10,45
2009-11,43
2009-12,38
2010-01,43
2010-02,41
2010-03,41
2010-04,43
2010-05,46
2010-06,41
2010-07,39
2010-08,36
2010-09,37
2010-10,36
2010-11,36
2010-12,36
2011-01,40
2011-02,39
2011-03,37
2011-04,41
2011-05,32
2011-06,35
2011-07,36
2011-08,100
2011-09,45
2011-10,44
2011-11,42
2011-12,38
2012-01,43
2012-02,38
2012-03,35
2012-04,34
2012-05,34
2012-06,32
2012-07,31
2012-08,32
2012-09,35
2012-10,34
2012-11,34
2012-12,31
2013-01,42
2013-02,41
2013-03,41
2013-04,42
2013-05,40
2013-06,38
2013-07,37
2013-08,38
2013-09,38
2013-10,45
2013-11,40
2013-12,37
2014-01,43
2014-02,47
2014-03,44
2014-04,45
2014-05,38
2014-06,38
2014-07,42
2014-08,45
2014-09,44
2014-10,62
2014-11,48
2014-12,53
2015-01,57
2015-02,54
2015-03,52
2015-04,50
2015-05,44
2015-06,47
2015-07,52
2015-08,74
2015-09,68
2015-10,59
2015-11,50
2015-12,56
2016-01,87
2016-02,82
2016-03,72
2016-04,64
2016-05,60
2016-06,79
2016-07,69
2016-08,61
2016-09,62
2016-10,55
2016-11,84
2016-12,64
2017-01,67
2017-02,71
2017-03,78
2017-04,67
2017-05,69
2017-06,68
2017-07,64
2017-08,73
2017-09,67
2017-10,72
2017-11,69
