,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,FAMA,MAMA,T3,RSI,WILLR,ADX,ADXR,MOM,CMO,ROC,ROCR,TRIX,MIDPOINT,HT_TRENDLINE,SINE,LEAD SINE,TRENDMODE,DCPERIOD,HT_DCPHASE,QUADRATURE,PHASE,MACD_Hist,MACD_Signal,MACD,MACDEXT,MACDEXT_Signal,MACDEXT_Hist,STOCH_SlowD,STOCH_SlowK,STOCHF_FastD,STOCHF_FastK,STOCHRSI_FastD,STOCHRSI_FastK,APO,PPO,BOP,TRANGE,Chaikin A/D,OBV,CCI,Aroon Down,Aroon Up,AROONOSC,MFI,DX,MINUS_DI,PLUS_DI,MINUS_DM,PLUS_DM,MIDPRICE,ATR,NATR,ULTOSC,Real Upper Band,Real Middle Band,Real Lower Band,SAR,ADOSC
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-0.3539,,-139159787.5884,931800000.0000,,,,,,,,,,,,,,,,,,,
2000-01-04,1427.3200,1427.3200,1418.0200,,,1427.3200,,,,,,-97.5301,,,,,,,,1427.3200,,,,0,,,,,,,,,,,,,,,,,,,-0.9656,57.7899,-1078670159.8390,-77200000.0000,-66.6667,,,,,,,,40.9299,0.0000,1437.7150,,,,1483.1199,1427.3200,1371.5201,1478.0000,
2000-01-05,1400.7650,1410.5133,1401.2133,1402.1100,,1400.7650,1400.4252,,,,4.5990,-68.4937,,,-53.1100,-90.8020,-3.6496,0.9635,,1400.7650,,,,0,,,,,,,,,,,,,,,,,,,0.0756,35.5900,-673936080.9134,1008300000.0000,-66.6667,100.0000,0.0000,-100.0000,0.0000,100.0000,62.3634,0.0000,40.2150,0.0000,1416.4500,46.6899,3.3300,,1403.4550,1400.7650,1398.0751,1477.1943,
2000-01-06,1402.7800,1405.8044,1403.0033,1401.4337,1401.4337,1402.7800,1401.7695,,,,8.7786,-27.5922,100.0000,,4.0299,-82.4427,0.2880,1.0029,,1402.7800,,,,0,,,,,,,,,,,,,,,,,,,0.0677,19.8000,-513958541.7378,2100600000.0000,66.6667,50.0000,0.0000,-50.0000,50.2418,100.0000,38.6367,0.0000,20.1075,0.0000,1395.4750,33.2450,2.3688,,1404.1199,1402.7800,1401.4400,1475.2040,
2000-01-07,1422.4600,1429.5815,1428.7966,1436.0502,1439.6634,1422.4600,1419.4142,,,,73.8335,-0.0000,74.6269,87.3135,39.3600,47.6671,2.8072,1.0281,0.4037,1422.4600,,,,0,,,,,,,,,,,,,,,,,,,0.9332,40.7400,711241458.2622,3325800000.0000,66.6667,0.0000,100.0000,100.0000,100.0000,49.2539,15.0592,44.2921,10.0537,29.5699,1416.7850,36.9925,2.5663,,1460.4800,1422.4600,1384.4399,1473.2535,
2000-01-10,1449.5350,1448.2605,1452.2233,1456.6431,1458.4854,1449.5350,1436.3856,,,,83.6981,-10.6239,75.5415,75.0842,54.1500,67.3961,3.8584,1.0386,0.9210,1449.5350,,,,0,,,,,,,,,,,,,,,,,,,0.7047,22.8900,1147115885.4600,4390600000.0000,66.6667,0.0000,100.0000,100.0000,100.0000,76.4560,8.9334,66.9532,5.0269,37.6750,1432.5450,29.9413,2.0541,,1465.6650,1449.5350,1433.4050,1471.3421,
2000-01-11,1448.0800,1441.7935,1444.9067,1442.4321,1440.4648,1448.0800,1436.4141,,,1444.8254,44.2846,-86.1723,54.0979,64.8197,-2.9099,-11.4307,-0.2019,0.9980,0.3636,1448.0800,,,,0,,,,,,,,,,,,,75.3410,70.2354,,,,,-0.7855,24.2400,479483619.9352,3376600000.0000,-66.6667,0.0000,50.0000,50.0000,51.4045,32.6544,18.2593,35.9664,9.5634,18.8375,1449.3900,27.0906,1.8832,,1467.1199,1448.0800,1429.0401,1469.4688,
2000-01-12,1435.4050,1435.4312,1434.3534,1433.5232,1432.0187,1435.4050,1434.5634,,,1437.9386,33.7503,-83.6288,33.3232,43.7106,-25.3500,-32.4993,-1.7392,0.9826,-0.0561,1435.4050,,,,0,,,,,,,,,,,,,72.6666,55.5633,,,,,-0.4066,15.5200,154202999.9875,2402000000.0000,-66.6667,100.0000,0.0000,-100.0000,0.0000,12.5485,29.0636,22.5828,12.1218,9.4187,1442.8700,21.3053,1.4875,,1441.7151,1435.4050,1429.0950,1467.6331,
2000-01-13,1440.9650,1444.9304,1443.8700,1447.4609,1448.4388,1440.9650,1436.3790,,,1443.3975,71.3720,-16.6663,39.5681,36.4457,11.1200,42.7440,0.7730,1.0077,0.2160,1440.9650,,,,0,,,,,,,,,,,71.8612,67.5760,67.5760,76.9292,52.9419,75.3221,,,0.7941,21.9500,760246529.3239,3432400000.0000,66.6667,50.0000,0.0000,-50.0000,51.5893,45.8130,14.1597,38.1026,6.0609,16.3093,1440.6400,21.6276,1.4919,,1458.3951,1440.9650,1423.5350,1465.8340,
2000-01-14,1457.4150,1458.4102,1459.9934,1463.7469,1465.0083,1457.4150,1449.1661,,,1456.5344,85.7433,-19.2637,59.6776,49.6228,32.9000,71.4866,2.2971,1.0230,0.5657,1457.4150,,,,0,,,,,,,,,,,70.6806,71.7992,71.7992,82.9051,69.5512,100.0000,,,0.6634,23.3199,1115073743.9581,4518300000.0000,66.6667,0.0000,100.0000,100.0000,100.0000,79.7871,6.7762,60.2719,3.0304,26.9547,1452.6250,22.4738,1.5339,,1472.8850,1457.4150,1441.9451,1377.6801,431902377.2388
