,1. open,2. high,3. low,4. close,5. volume
2000-01-14,1441.4700,1473.0000,1427.0800,1465.1500,5169700000
2000-01-21,1465.1500,1465.7100,1438.5400,1441.3600,4455000000
2000-01-28,1441.3600,1454.0900,1356.2000,1360.1600,5532100000
2000-02-04,1360.1600,1435.9100,1350.1400,1424.3700,5205000000
2000-02-11,1424.3700,1444.5500,1378.8900,1387.1200,5100800000
2000-02-18,1387.1200,1407.7200,1345.3199,1346.0900,5115300000
2000-02-25,1346.0900,1370.1100,1329.1500,1333.3600,4253900000
2000-03-03,1333.3600,1410.8800,1325.0699,1409.1700,5853800000
2000-03-10,1409.1700,1413.4600,1346.6200,1395.0699,5807900000
2000-03-17,1395.0699,1477.3300,1356.9900,1464.4700,6190300000
2000-03-24,1464.4700,1552.8700,1446.0601,1527.4600,5192200000
2000-03-31,1527.4600,1534.6300,1474.6300,1498.5800,5342800000
2000-04-07,1498.5800,1526.4500,1416.4100,1516.3500,5547060000
2000-04-14,1516.3500,1527.1899,1339.4000,1356.5601,5312700000
2000-04-20,1356.5601,1447.6899,1346.5000,1434.5400,4211700000
2000-04-28,1434.5400,1482.9399,1407.1300,1452.4301,5035000000
2000-05-05,1452.4301,1481.5100,1398.3600,1432.6300,4700700000
2000-05-12,1432.6300,1432.6300,1375.1400,1420.9600,4502400000
2000-05-19,1420.9600,1470.4000,1401.7400,1406.9500,4292200000
2000-05-26,1406.9500,1411.6500,1361.0900,1378.0200,4598300000
2000-06-02,1378.0200,1483.2300,1378.0200,1477.2600,3927200000
2000-06-09,1477.2600,1477.2800,1454.7400,1456.9500,4283600000
2000-06-16,1456.9500,1483.6200,1442.3800,1464.4600,4901900000
2000-06-23,1464.4600,1488.9301,1438.3101,1441.4800,4833100000
2000-06-30,1441.4800,1467.6300,1434.6300,1454.6000,5597200000
2000-07-07,1454.6000,1484.1200,1439.5601,1478.9000,3350200000
2000-07-14,1478.9000,1509.9900,1470.4800,1509.9800,4807800000
2000-07-21,1509.9800,1517.3199,1477.9100,1480.1899,4756600000
2000-07-28,1480.1899,1485.8800,1413.8900,1419.8900,5221900000
2000-08-04,1419.8900,1462.9301,1418.7100,1462.9301,4937400000
2000-08-11,1462.9301,1490.3300,1453.0601,1471.8400,4677300000
2000-08-18,1471.8400,1499.4700,1468.5601,1491.7200,4353300000
2000-08-25,1491.7200,1513.4700,1489.5200,1506.4500,3944100000
2000-09-01,1506.4500,1530.0900,1500.0900,1520.7700,4171900000
2000-09-08,1520.7700,1520.7700,1489.8800,1494.5000,3780100000
2000-09-15,1494.5000,1506.7600,1460.2200,1465.8101,5241200000
2000-09-22,1465.8101,1467.7700,1421.8800,1448.7200,5382300000
2000-09-29,1448.7200,1461.6899,1419.4399,1436.5100,5667000000
2000-10-06,1436.5200,1454.8199,1397.0601,1408.9900,5642900000
